gen,Mg,P,ADICP,K,diff
131,NA,6.23352310213932e-07,NA,NA,diff_201
141,NA,0.00941799995063541,NA,NA,diff_201
2,0.00984985750707756,0.037445381257936,NA,NA,diff_201
3,NA,0.0439073269849926,NA,NA,diff_201
54,NA,6.51522169548002e-10,NA,NA,diff_201
70,NA,1.26199425589668e-05,NA,NA,diff_201
73,NA,0.0117503670722848,NA,NA,diff_201
84,NA,0.00760096751386297,NA,NA,diff_201
92,NA,0.00236852724358427,NA,NA,diff_201
100,NA,NA,NA,0,diff_201
102,NA,NA,NA,1.11022302462516e-16,diff_201
104,NA,NA,NA,0,diff_201
105,NA,NA,NA,4.44089209850063e-16,diff_201
108,NA,NA,NA,0.0041268799590457,diff_201
109,NA,NA,NA,1.5933111385813e-08,diff_201
110,NA,NA,NA,0,diff_201
113,NA,NA,NA,9.12652465379082e-07,diff_201
115,NA,NA,NA,1.5656365093264e-12,diff_201
117,NA,NA,NA,1.25802923633955e-08,diff_201
119,NA,NA,NA,0,diff_201
120,NA,NA,NA,0.00736281317989884,diff_201
121,NA,NA,NA,0,diff_201
122,NA,NA,NA,6.03868066662017e-11,diff_201
124,NA,NA,NA,0,diff_201
126,NA,NA,NA,3.18078896555107e-13,diff_201
127,NA,NA,NA,6.28450805173486e-07,diff_201
129,NA,NA,NA,0,diff_201
135,NA,NA,NA,0.030693997346798,diff_201
136,NA,NA,NA,1.53119028567517e-09,diff_201
138,NA,NA,NA,0,diff_201
140,NA,NA,0.0164448292224362,0,diff_201
142,NA,NA,0.000251015149058675,0,diff_201
143,NA,NA,NA,1.57404755896096e-10,diff_201
146,NA,NA,NA,0,diff_201
147,NA,NA,NA,4.97048624481522e-10,diff_201
15,NA,NA,NA,4.73554278013211e-08,diff_201
152,NA,NA,NA,0.0175702101286354,diff_201
155,NA,NA,NA,1.01927788431766e-09,diff_201
158,NA,NA,NA,0,diff_201
16,NA,NA,NA,1.46387346688925e-11,diff_201
161,NA,NA,NA,0.000208234493904391,diff_201
164,NA,NA,NA,7.87964618331749e-07,diff_201
165,NA,NA,NA,0,diff_201
166,NA,NA,NA,0,diff_201
167,NA,NA,NA,1.4975283990637e-07,diff_201
168,NA,NA,NA,2.12915363118071e-09,diff_201
169,NA,NA,NA,0,diff_201
17,NA,NA,NA,0,diff_201
170,NA,NA,NA,0.0283811756627657,diff_201
171,NA,NA,NA,0,diff_201
172,NA,NA,NA,0.0346109974085166,diff_201
173,NA,NA,NA,0,diff_201
174,NA,NA,NA,0,diff_201
175,NA,NA,NA,0.000504492609584961,diff_201
176,NA,NA,NA,2.49689158238198e-13,diff_201
177,NA,NA,NA,0,diff_201
178,NA,NA,NA,2.13125866510566e-07,diff_201
179,NA,NA,NA,2.87828247902411e-08,diff_201
181,NA,NA,NA,1.55431223447522e-13,diff_201
182,NA,NA,NA,6.66133814775094e-14,diff_201
185,NA,NA,NA,0.00696163494593283,diff_201
187,NA,NA,NA,0.0115186448845308,diff_201
188,NA,NA,NA,9.10999213843411e-08,diff_201
189,NA,NA,NA,6.3076681257157e-05,diff_201
19,NA,NA,NA,0,diff_201
190,NA,NA,NA,0,diff_201
191,NA,NA,NA,0,diff_201
192,NA,NA,NA,0.000474136051668683,diff_201
193,NA,NA,NA,0,diff_201
194,NA,NA,NA,8.54871728961371e-15,diff_201
