gen,Ash,Ca,Mg,Starch,DM,K,diff
1,0.000320890382133232,0,NA,NA,NA,NA,diff_202
10,1.07525317409873e-05,5.06313079950971e-06,NA,NA,NA,NA,diff_202
100,1.37445610448594e-13,0,NA,NA,NA,NA,diff_202
101,0.0073916254118882,NA,NA,NA,NA,NA,diff_202
102,0.000795259346502042,0,NA,NA,NA,NA,diff_202
103,NA,3.5488094685121e-09,NA,NA,NA,NA,diff_202
104,0.000357987046101793,3.73656585894722e-07,NA,NA,NA,NA,diff_202
105,5.95126745821517e-05,0,NA,NA,NA,NA,diff_202
107,0.0249277517686385,3.86912724081867e-13,NA,0.00818217690719125,1.52960646944145e-05,NA,diff_202
108,0.00590458254295367,1.82351030386663e-07,NA,NA,NA,NA,diff_202
109,0.0396656504303192,0.0251300422296601,NA,NA,NA,NA,diff_202
11,NA,0.000114905409379973,NA,NA,NA,NA,diff_202
110,0.0319999575936644,0,NA,NA,NA,NA,diff_202
112,NA,8.88178419700125e-16,NA,NA,NA,NA,diff_202
113,NA,2.12373526542464e-08,NA,NA,NA,NA,diff_202
114,0.0163935750658512,7.00892677230058e-11,NA,NA,NA,NA,diff_202
115,NA,9.09064712395491e-10,NA,NA,NA,NA,diff_202
116,NA,0.0155674884242074,NA,NA,NA,NA,diff_202
117,6.72344213725751e-06,3.58768570407619e-12,NA,NA,NA,NA,diff_202
119,0.015806041511783,0.00317230675892932,NA,NA,NA,NA,diff_202
120,0.00025016938029454,0,NA,NA,NA,NA,diff_202
121,8.05249245061646e-09,NA,NA,NA,NA,NA,diff_202
122,0.00580877183208239,0.00385176342323079,NA,NA,NA,NA,diff_202
123,NA,1.9300965457214e-05,NA,NA,NA,NA,diff_202
124,0.0485084259243557,0,NA,NA,NA,NA,diff_202
125,NA,4.44737358051839e-10,NA,NA,NA,NA,diff_202
126,NA,3.33066907387547e-16,NA,NA,1.88074634190905e-05,NA,diff_202
127,NA,2.22044604925031e-14,NA,NA,NA,NA,diff_202
128,0.0136502625770614,1.2134737659153e-13,NA,NA,NA,NA,diff_202
129,1.4219326389675e-06,9.60564960905685e-13,NA,NA,NA,NA,diff_202
13,NA,8.19780866523345e-08,NA,NA,NA,NA,diff_202
130,NA,5.31518189217373e-06,NA,NA,NA,NA,diff_202
131,NA,0.00153351933768542,NA,NA,NA,NA,diff_202
133,NA,0.000352215025494096,NA,NA,NA,NA,diff_202
134,0.000121156828770008,1.15463194561016e-14,NA,NA,NA,NA,diff_202
135,NA,2.22044604925031e-16,NA,NA,NA,NA,diff_202
136,NA,0,NA,NA,NA,NA,diff_202
137,NA,0.0152983374221166,NA,NA,0.00123366845131756,NA,diff_202
138,NA,0,NA,NA,2.43460009929919e-08,NA,diff_202
139,0.0407622222799604,6.49154273668628e-07,NA,NA,NA,NA,diff_202
14,NA,3.51940698806175e-13,NA,NA,NA,NA,diff_202
140,3.45631995812834e-06,6.00572003239819e-08,NA,NA,NA,NA,diff_202
141,NA,0,NA,NA,NA,NA,diff_202
142,NA,0,NA,NA,NA,NA,diff_202
143,NA,2.46756251653935e-07,NA,NA,NA,NA,diff_202
144,NA,0.00051841548527698,NA,NA,NA,NA,diff_202
