GEN,Y_ADF,Y_aNDF,Y_Lignin,GEN,Pi_a_ADF,R_a_ADF,Pi_a_aNDF,R_a_aNDF,Pi_a_Lignin,R_a_Lignin,GEN,Pi_f_ADF,R_f_ADF,Pi_f_aNDF,R_f_aNDF,Pi_f_Lignin,R_f_Lignin,GEN,Pi_u_ADF,R_u_ADF,Pi_u_aNDF,R_u_aNDF,Pi_u_Lignin,R_u_Lignin
1,30.8245479574794,36.4763064275574,6.42582230569114,1,1.0679656792187,134,1.03595450366408,114,0.0529872117253414,144,1,0.158843927575084,19,0.195463107986682,14,0.00774754836841132,65,1,2.65892874459504,166,2.04454417847696,159,0.107274807753657,148
2,31.4780512275057,37.2672120120876,6.55840382501899,2,0.157236237848067,1,0.180307151163169,2,0.00721609161341146,3,2,0.247085516618391,40,0.330563110465809,35,0.0132295012912543,143,2,0,1,0,1,0,1
3,31.0781125100678,36.9150106146979,6.45052053626115,3,0.501352997172988,28,0.426636209182007,9,0.0418227134470456,111,3,0.167430532298724,23,0.11121018811693,10,0.0103232112034496,105,3,1.08571731070295,60,0.805147434460099,48,0.0796221161393609,108
4,30.8880480503833,36.7419380203351,6.4114808830615,4,0.830676836549192,92,0.716484393302836,51,0.0610555185646886,161,4,0.18074854504374,27,0.0960874236738257,9,0.00627237955247824,46,4,1.96805134668373,125,1.46096075685765,117,0.126795285379341,165
5,30.7732459727081,36.5141529727987,6.40743179183811,5,1.0852777131131,136,0.934272574582755,95,0.066491772489044,171,5,0.198631186485421,32,0.205326353163096,16,0.00301099588047704,18,5,2.63690913471153,163,1.80900804028635,147,0.142668704419324,179
6,31.3510367565515,36.9578698805484,6.5081722762397,6,0.175857615727175,2,0.266109783471693,3,0.0134677349833481,5,6,0.175349768969487,25,0.252618320891853,22,0.0071459558203945,56,6,0.17674634755313,3,0.282299538567501,8,0.0210538699788923,12
7,30.637631385598,36.3566859146534,6.4027290693176,7,1.02540872176664,125,0.907081524493498,89,0.0516699843239346,138,7,0.399185665867296,91,0.570381078693858,83,0.00892981608710395,82,7,2.12129906959049,136,1.31112205945307,97,0.102958186208131,140
8,31.1866662746673,36.6159639782575,6.4953328026742,8,0.264848296113742,8,0.550751146726497,24,0.0133986021095165,4,8,0.206369654086208,33,0.745612783363839,120,0.00959019493433722,91,8,0.367185919661926,9,0.316917182761685,10,0.0179686907197316,8
9,30.5114976932208,36.1381616572093,6.37231494964393,9,1.44026253218721,177,1.49232764279581,177,0.077298159161952,187,9,0.387036552515876,82,0.455130218377318,58,0.0120775681225839,129,9,3.28340799661205,185,2.73696455209801,187,0.155562868409194,185
10,30.8772913547352,36.3912328594478,6.44144230296717,10,0.731400165446776,79,0.89041416149356,87,0.0338758937074331,80,10,0.223322349033432,35,0.463493596128441,60,0.00782230263956774,67,10,1.62053634417013,105,1.4027188399317,107,0.0651402029888715,87
11,30.8475176471767,36.5576083986337,6.46035000453122,11,0.590416301627443,52,0.604916241203213,31,0.0209874884092435,28,11,0.398304652049693,89,0.488582851356792,65,0.0146098516569608,162,11,0.926611688388505,49,0.744516309018918,42,0.0286406525119827,20
12,30.1713834367018,35.9420015603334,6.33102336968056,12,1.93379695659352,196,1.69163729718306,188,0.0972625705363726,196,12,0.785510690563608,181,0.78112253799048,126,0.0144459735162058,160,12,3.94329792214586,194,2.78425500821415,190,0.196642486960573,196
13,30.632706395484,36.3142881816605,6.41172276556719,13,0.918676685399677,102,0.932531455840895,94,0.0443347563276876,117,13,0.520990717455896,131,0.701235258591834,111,0.00971327304916924,93,13,1.61462712930129,103,1.21008689253977,87,0.0858805362619097,116
14,30.8700387925791,36.4668721286244,6.42294255428048,14,0.723040865874957,77,0.806438652988528,72,0.0476845901423331,128,14,0.254879200974626,45,0.381157780053072,44,0.00754751561032028,63,14,1.54232377945054,95,1.31677570051108,98,0.0958490795807486,130
15,30.5534827457906,36.1646154151592,6.39246332477211,15,1.34464361692803,169,1.31402743139937,154,0.0667630752641718,172,15,0.353586882730592,75,0.54056822754666,75,0.00478475292414559,36,15,3.07899290177354,179,2.24217847602262,169,0.141137062072203,177
16,30.8452511968682,36.4393392402172,6.40368231623711,16,0.737062841115732,81,0.811540269449253,74,0.0536912085351577,147,16,0.26712111112002,49,0.512022208419898,69,0.00989474120017225,96,16,1.55946086860823,97,1.17096194268448,85,0.10624696933714,145
17,30.4498138203637,36.0694006867093,6.39374190011447,17,1.35742962284549,170,1.30139563854949,152,0.0627985311221629,163,17,0.533658434615013,137,0.932518510600262,156,0.00566948306205532,42,17,2.79902920224882,169,1.74404819208856,140,0.131353388794292,171
18,30.9382352492386,36.6146039058418,6.4683825972952,18,0.638657053300638,61,0.611305329486441,33,0.0257036450475236,54,18,0.188442309374765,31,0.297146289181767,28,0.00307457999651215,19,18,1.42653285517092,88,0.98829617785205,66,0.0528585231087372,67
