trait,stat,ID_2018,ID_2019,ID_2020,OR_2018,OR_2019,OR_2020,OR_2021,WA_2018,WA_2019,WA_2020,WA_2021
ADF,mean,32.31 ±0.265,34.59 ±0.427,29.51 ±0.311,29.57 ±0.307,31.33 ±0.242,32.09 ±0.256,29.55 ±0.308,32.2 ±0.26,31.77 ±0.247,30.81 ±0.248,24.15 ±1.052
ADF,range,31.54 - 32.92,33.29 - 35.75,28.81 - 30.53,28.87 - 30.57,30.64 - 31.89,31.37 - 32.68,28.85 - 30.56,31.45 - 32.8,31.07 - 32.33,30.11 - 31.49,21.49 - 27.23
ADF,cv,0.0082,0.0123,0.0105,0.0104,0.0077,0.0080,0.0104,0.0081,0.0078,0.0081,0.0436
ADF,Check_201,33.19,35.53,30.31,30.37,32.18,32.96,30.35,33.08,32.63,31.64,24.97
ADF,Check_202,31.61,33.76,28.95,29.01,30.68,31.40,28.99,31.51,31.10,30.18,23.99
ADICP,mean,0.71 ±0.002,0.87 ±0.014,1.01 ±0.001,0.35 ±0.005,0.51 ±0.003,0.94 ±0.001,0.83 ±0.001,0.49 ±0.003,0.53 ±0.003,0.84 ±0.001,0.82 ±0.001
ADICP,range,0.7 - 0.71,0.82 - 0.9,1 - 1.01,0.34 - 0.37,0.5 - 0.52,0.93 - 0.94,0.83 - 0.83,0.47 - 0.5,0.52 - 0.53,0.84 - 0.84,0.82 - 0.82
ADICP,cv,0.0021,0.0165,0.0014,0.0128,0.0061,0.0009,0.0008,0.0069,0.0057,0.0008,0.0009
ADICP,Check_201,0.71,0.86,1.00,0.37,0.52,0.93,0.83,0.50,0.54,0.84,0.82
ADICP,Check_202,0.70,0.84,1.01,0.35,0.51,0.94,0.83,0.48,0.52,0.84,0.82
aNDF,mean,37.29 ±0.303,43.39 ±0.544,33.88 ±0.333,35.3 ±0.292,39.04 ±0.327,36.99 ±0.281,33.35 ±0.354,39.14 ±0.331,38.58 ±0.312,35.64 ±0.286,27.05 ±0.932
aNDF,range,36.41 - 38.09,41.99 - 45.19,33.09 - 35.06,34.5 - 36.29,38.16 - 39.88,36.17 - 37.77,32.57 - 34.59,38.25 - 39.99,37.74 - 39.38,34.84 - 36.59,25.07 - 29.88
aNDF,cv,0.0081,0.0125,0.0098,0.0083,0.0084,0.0076,0.0106,0.0085,0.0081,0.0080,0.0345
aNDF,Check_201,38.00,44.35,34.80,36.22,39.98,37.92,34.26,40.09,39.51,36.57,28.15
aNDF,Check_202,36.72,42.64,33.26,34.66,38.35,36.33,32.74,38.45,37.89,35.00,26.52
Ash,mean,9.92 ±0.008,10.04 ±0.064,10.9 ±0.022,10.25 ±0.008,10.17 ±0.007,8.97 ±0.029,8.65 ±0.037,10.12 ±0.007,10.34 ±0.01,9.89 ±0.008,8.84 ±0.033
