trait,stat,ID_2018,ID_2019,ID_2020,OR_2018,OR_2019,OR_2020,OR_2021,WA_2018,WA_2019,WA_2020,WA_2021
ADF,new_mean,28.72 ±1.426,31.08 ±1.418,25.9 ±1.632,32.13 ±1.748,33.91 ±1.789,34.68 ±2.366,32.15 ±2.114,33.61 ±1.865,32.88 ±1.543,31.97 ±2.245,25.27 ±2.095
ADF,new_range,25.49 - 33.51,24.81 - 35.49,21.8 - 34.15,26.41 - 39.58,28.21 - 39.93,27.6 - 40.78,26.15 - 37.82,29.09 - 38.09,29.37 - 36.8,25.3 - 38.34,20.11 - 30.99
ADF,new_cv,0.0497,0.0456,0.0630,0.0544,0.0528,0.0682,0.0658,0.0555,0.0469,0.0702,0.0829
ADF,201_mean,29.05 ±0.952,32.67 ±1.618,27.49 ±2.548,33.12 ±1.779,34.43 ±2.313,35.51 ±2.356,33.65 ±1.843,34.92 ±1.815,33.54 ±1.443,34.42 ±2.598,26.17 ±1.342
ADF,201_range,27.37 - 30.22,30.4 - 35.49,24.87 - 34.15,30.72 - 35.25,31.22 - 37.93,31.53 - 38.55,31.3 - 36.52,32.29 - 38.09,31.62 - 36.8,30.91 - 38.34,24.56 - 28.3
ADF,201_cv,0.0328,0.0495,0.0927,0.0537,0.0672,0.0664,0.0548,0.0520,0.0430,0.0755,0.0513
ADF,202_mean,28.17 ±1.644,29.69 ±0.901,25.74 ±1.476,30.12 ±1.709,32.25 ±1.391,33.93 ±2.386,31.29 ±1.881,32.37 ±1.823,32.82 ±1.01,31.67 ±2.91,25.23 ±1.167
ADF,202_range,25.59 - 30.85,28.05 - 31.47,23.82 - 27.84,26.91 - 33.04,28.85 - 34.2,29.83 - 36.29,28.21 - 34.69,28.44 - 35.03,31.4 - 35.15,24.43 - 34.42,23.1 - 26.63
ADF,202_cv,0.0584,0.0303,0.0573,0.0568,0.0431,0.0703,0.0601,0.0563,0.0308,0.0919,0.0463
ADICP,new_mean,0.51 ±0.049,0.66 ±0.049,0.81 ±0.069,0.55 ±0.049,0.71 ±0.071,1.14 ±0.1,1.03 ±0.094,0.49 ±0.044,0.53 ±0.057,0.84 ±0.074,0.82 ±0.044
