ID,block,position,gen,loc,year,DM,CP,ADF,aNDF,Ash,Fat,Lignin,Ca,P,K,Mg,Starch,ESC,WSC,ADICP,NDICP
30101,1,1,34,OR,2020,93.68,17.7,36.6,42.67,8.01,1.8,8.28,1.33,0.31,2.49,0.25,2.52,5.7,8.34,1.17,1.54
30102,1,2,90,OR,2020,93.86,18.68,37.02,43.68,8.2,1.65,7.43,1.1,0.33,2.57,0.25,1.34,6.27,8.76,0.91,0.92
30103,1,3,201,OR,2020,93.33,17.13,34.87,40.89,8.83,1.93,7.32,1.31,0.3,2.27,0.26,3.56,6.47,9.04,0.99,1.18
30104,1,4,55,OR,2020,93.15,16.94,35.08,41.99,8.64,1.73,7.86,1.37,0.29,2.16,0.26,4.04,6.29,8.87,1.31,1.19
30105,1,5,10,OR,2020,93.17,17.21,36.41,42.28,8.94,1.74,7.9,1.27,0.29,2.29,0.26,3.23,5.97,8.46,1.2,1.43
30106,1,6,192,OR,2020,93.68,17.44,36.91,42.46,8.49,1.6,8.01,1.37,0.29,2.43,0.25,2.06,6.6,8.96,1.02,0.71
30107,1,7,145,OR,2020,93.23,17.75,36.67,42.51,8.39,1.79,7.94,1.33,0.3,2.46,0.24,2.47,5.7,8.18,1.16,1.21
30108,1,8,48,OR,2020,93.71,15.99,38.95,45.46,8.01,1.61,8.3,1.17,0.3,2.43,0.24,2.14,6.61,8.77,1.08,0.72
30109,1,9,74,OR,2020,93.34,19.53,36.29,42.08,8.02,1.96,7.44,1.31,0.34,2.86,0.31,1.32,5.01,7.85,1.07,1.68
30110,1,10,159,OR,2020,93.19,17.54,38.15,44.47,8.28,1.6,8.22,1.28,0.3,2.29,0.25,2.89,5.86,8.42,1.12,1.39
30111,1,11,176,OR,2020,93.1,20.15,33.29,38.87,9.08,1.94,7.19,1.28,0.34,2.58,0.28,2.89,5.91,8.63,1.21,1.96
30112,1,12,95,OR,2020,93.5,17.24,36.69,42.86,8.97,1.52,7.85,1.25,0.3,2.42,0.27,3.52,6.29,8.93,1.17,1.31
30113,1,13,190,OR,2020,93.5,16.91,38.75,44.75,8.26,1.56,8.26,1.25,0.29,2.25,0.23,2.87,6.27,8.6,1.02,1.04
30114,1,14,81,OR,2020,93.8,17.38,38.21,43.92,8.06,1.57,8.25,1.33,0.32,2.48,0.24,2.65,5.79,8.4,1.14,1.21
30115,1,15,167,OR,2020,93.7,18.32,38.48,45.25,9.33,1.59,8.46,1.3,0.34,2.71,0.24,2.01,4.64,7.87,1.25,1.69
30116,1,16,123,OR,2020,93.32,17.55,38.25,44.64,7.04,1.55,8.36,1.2,0.32,2.28,0.25,3.01,5.8,8.27,1.32,1.67
30117,1,17,46,OR,2020,93.96,17.08,40.78,47.98,6.87,1.48,8.41,1.02,0.33,2.43,0.24,1.27,6.05,8.2,0.99,1.07
30118,1,18,160,OR,2020,93.28,18.54,34.39,39.58,9.47,1.83,7.42,1.51,0.31,2.51,0.28,2.74,6.1,9.05,1.1,1.44
30119,1,19,18,OR,2020,93.12,16.27,38.89,45.33,7.39,1.6,8.59,1.25,0.3,2.4,0.24,2.47,5.8,8.36,1.21,1.18
