"gen","ADF_ID","ADF_OR","ADF_WA","ADICP_ID","ADICP_OR","ADICP_WA","aNDF_ID","aNDF_OR","aNDF_WA","Ash_ID","Ash_OR","Ash_WA","Ca_ID","Ca_OR","Ca_WA","CP_ID","CP_OR","CP_WA","DM_ID","DM_OR","DM_WA","ESC_ID","ESC_OR","ESC_WA","Fat_ID","Fat_OR","Fat_WA","K_ID","K_OR","K_WA","Lignin_ID","Lignin_OR","Lignin_WA","Mg_ID","Mg_OR","Mg_WA","NDICP_ID","NDICP_OR","NDICP_WA","P_ID","P_OR","P_WA","Starch_ID","Starch_OR","Starch_WA","WSC_ID","WSC_OR","WSC_WA"
"1",29.7515118590056,32.7389191593125,30.4030382429816,0.653348449187358,0.894053809042153,0.674876327786612,34.8954986199048,39.2825118897382,36.5355339754773,12.0640811090676,8.97033595356108,8.48549515090787,1.54542707857139,1.29783740952587,1.32172089763497,23.9022545515834,20.5955279699392,20.511939256368,94.640345931739,94.1788595180703,94.9411983638371,6.15822841448992,6.5785764365286,7.3349476966639,1.84482483435612,1.95220280366711,1.90831412755907,2.7572506843786,2.38094191167275,1.99283470442562,5.95338340162926,7.09073703694776,6.70714366473672,0.348383481457301,0.298229799029641,0.332693191114356,1.04198131243131,1.21043862345596,1.03020787869635,0.335528290391357,0.318839483350269,0.302005598920445,0.870213558869337,2.43033283861165,3.23040768008234,7.80589592143903,8.00401744891649,8.98035019321997
"2",29.3555272066662,35.7402444552561,33.9747514081252,0.644949186813602,0.857079307204571,0.67287466243866,34.7406846210157,43.8156862227391,40.4468035354255,11.6548846790213,8.88794491414342,8.49822923636586,1.53307714119585,1.25040190355874,1.22916782195588,23.8972518156563,18.9860326161601,19.1195753379908,94.693900593708,94.1874405965367,94.5211412180365,6.02982025878888,6.08986897462858,6.90889661191977,1.85527035179398,1.76890590650627,1.88636975953193,2.69093021069049,2.38472134455109,2.06257523188301,5.81002954213735,7.51090299962334,6.85318824940339,0.353414625124615,0.263871320898235,0.309154748388951,1.15557034492922,1.23200173219834,1.09051757506023,0.340982172589137,0.307960113394807,0.294492963363404,0.787785022924081,1.92190405872038,2.6468147067189,8.0285837927593,7.99492173066815,8.63983806998803
"3",29.5122875285964,34.6952815352978,32.0766538873164,0.619586761586844,0.841791522945276,0.691528291232363,34.9614135654082,41.7347243366692,38.768407412291,11.4312557650606,9.13669192845246,8.78449426317456,1.53395951331044,1.25396164933897,1.22927980437743,23.8184742079698,19.9870628489246,19.320074759518,94.6752727175718,94.2272537598862,94.8129473753903,5.91310241469238,6.0564849812807,7.59606812468631,1.84673362167589,1.83304932839815,1.90425233242341,2.74951137569736,2.49486285941365,1.9978706089677,5.84973911580513,7.34985582724024,6.67359135577692,0.344784278675706,0.272654431330728,0.316232372596313,1.18111083906091,1.11798732435896,0.993832318959773,0.334397461058194,0.314026803660399,0.290179309534504,0.734488530248439,2.13277799270995,3.17586626147747,7.99226190501433,7.89443983575376,9.0803332223475
"4",29.2986932529285,33.5170979474072,33.0063521782843,0.63709560973578,0.883590779389807,0.681345854448388,34.1310857485719,40.2704537736367,38.9655489667387,10.6975295377871,9.49346491544728,8.47691451621642,1.53315173558934,1.29058185502735,1.27296030804794,24.1412950957301,21.0282422883044,19.5243374061065,94.7546931459194,94.1452369285394,94.334113829936,5.99818278752777,6.12935669271079,7.62507470067918,1.85320403548846,1.89426696349405,1.87895002257173,2.71907426754113,2.42823678879605,2.01605327461558,6.01527605428992,7.03335945483227,6.60999557335888,0.347925564453228,0.300438847781952,0.323190314502904,1.15610356605491,1.4181930011972,1.10094539388528,0.334584493970912,0.31575905412639,0.297651499825249,0.699766967603645,1.79222606482419,2.60804017305435,8.29054748750014,8.05796872923911,9.08972796733477
"5",29.2044392517417,33.9112070134964,31.5130847937208,0.655356432494059,0.862119776930788,0.66376748438263,34.3104276463904,41.3634798243124,37.8449059672213,11.483173482275,8.51299823268341,8.64219059357847,1.52455300440939,1.26132009200477,1.25478335798912,24.0163100745285,19.494483585119,19.807299029588,94.7001134240688,94.1579084779282,94.4803077907484,5.95361322075587,6.96857939102403,6.88355630016891,1.86744037638505,1.912523398654,1.89195462765058,2.7416277596893,2.41916638669551,2.02889470695982,5.99777199911077,6.91021007551842,6.54909156146814,0.343477279074467,0.280223077664209,0.313311031761113,1.16896885792301,1.07970553770239,0.972308619997327,0.335752802405172,0.312942762825941,0.29777368700366,0.820088911425785,2.26416000999099,3.5848610341273,7.90947883666062,8.40657056969477,8.72778786203009
"6",28.6855941883336,34.6591924684247,33.1704639617302,0.6500455910941,0.857845163899743,0.6727871313748,33.931849777962,41.5313485886487,39.9327774511598,11.5529837006097,9.18429936463751,8.55689197405803,1.55144287662102,1.27826435204924,1.25555815642827,24.4284030365679,19.7443992938147,19.373905667913,94.7174473511249,94.1936419146585,94.8786877661188,5.76579243886703,5.8697155723161,6.77708993114343,1.89787014882451,1.88871995961157,1.91394937618593,2.65535405126123,2.48102546169529,2.13578300366607,6.05943477081842,7.24809073852499,6.78160736701016,0.352054278520288,0.286335625630433,0.309578600070199,1.24250252536895,1.1938359525604,1.01420770955357,0.333764405235026,0.308235821413926,0.294473491543438,0.738314563306658,1.67413956887913,2.19442467144076,8.01290640336837,7.98736257869316,8.68247524742329
"7",27.1218417465725,32.288609699222,31.9054943213076,0.646191400046551,0.855432099242974,0.677602523545659,31.6584460749348,38.2528955587053,39.2833719201292,11.4834818976473,9.16319026784771,8.37074007866935,1.51925839577791,1.2808453724319,1.25770288349726,25.1588173040605,20.7542042942688,19.5698515927482,94.7054942373184,94.148280497264,94.6555705947091,6.04223217852924,6.60608732258984,7.22612647020176,1.89671678589507,1.970085602501,1.91604257320033,2.77923519087406,2.43812733337778,2.1542283133129,5.81070344202932,6.97382388706228,6.54395694554296,0.348812447326533,0.28764539560589,0.314125150547331,1.12311551739825,1.1654829142614,0.955754362583797,0.342962728339688,0.313723624257535,0.302580745728847,0.768557928025189,2.02710634998402,2.69289847245683,8.03497168034635,8.20475789132902,8.76073850284653
"8",29.8148588789255,34.6896347238161,32.2181295468903,0.669657459121681,0.863451734938158,0.678450049387798,33.5035311799106,41.4491497258545,36.963643043423,11.8535010559262,8.7031707934954,8.62854426577112,1.5342227328124,1.2689180414665,1.30036012551332,25.2043537509088,20.747728758112,21.2815610502716,94.7887416209295,94.118338530072,94.8769578738552,5.24213360717941,6.29915117821874,6.72217704202453,1.85401917069574,1.92439517341009,1.9607046399851,2.85758109939608,2.48745632844502,2.09888797369826,5.97032919431199,7.17206069695676,6.775714819088,0.35218791730743,0.278841922064834,0.32399376973378,1.12738969671285,1.25107756677608,1.059138160376,0.352900691246584,0.327407392515446,0.302809340734597,0.589756429575797,1.5346729824038,1.58496659833593,7.56938090762954,7.89063815965525,8.82545010428531
"9",28.3188637739408,34.7484221293274,31.2551759459191,0.667459127496025,0.866324071422705,0.670119284810361,32.6225221714793,41.6871242914396,36.2441635496396,11.5028837821647,9.18616078573817,8.83173595950414,1.52173067716283,1.27387127709679,1.28347197498068,25.6928977846589,21.2468467886958,21.8457642863147,94.6948273613038,94.1955851125295,94.6909214174176,5.72183952122534,6.00430691244939,6.70578399667329,1.90969872332283,1.85317159408877,1.93296335700545,2.80540825948966,2.36031311317056,2.16745102886046,5.70130822729263,7.23090174470557,6.42926901972234,0.35435055067942,0.29197292623726,0.325647528988794,1.0674832885417,1.20592117281043,1.08825716912052,0.353810022640506,0.326689453495971,0.311686906817479,0.789170694128359,1.73679770138428,2.33628958874297,7.99194964642304,8.04614293623768,8.77492198692661
"10",28.6161535209945,32.9454626490338,31.9766125287567,0.670248567417733,0.868367806865379,0.652728147589479,32.8120638113966,38.8706444420306,37.6000931534357,12.1768489489342,9.34070125503891,8.79445194842485,1.55180937952257,1.30036288659438,1.26853008851178,25.1260373076788,21.4351040208083,21.1675909347971,94.7602384568797,94.1979253850568,94.7866238951504,5.75441309125165,5.8359970551075,6.36353587492933,1.85969390304175,2.04647606621341,1.95946222497424,2.81842449765864,2.5012679599786,2.25824720180811,5.87756713454722,6.98094969829126,6.43997039621359,0.3528838399022,0.305524758158337,0.313169405789094,1.21588664420833,1.35582567114499,1.0334891498132,0.346198305467113,0.327184762405781,0.310951016383686,0.846332370199928,1.7970699908066,2.26471700877515,7.77653228774563,7.96957907594467,8.52246511991777
