Location,block,Position,ID,gen,row,col,Year,Cut,trait,resp,cov1,cov2
WA,1,1,10101,123,1,4,2018,1,DM,93.76,NA,NA
WA,1,1,10101,123,1,4,2020,1,DM,95.2,95.61,94.76
WA,1,1,10101,123,1,4,2021,1,DM,93.58,93.98,93.6
WA,1,2,10102,29,1,3,2020,1,DM,95.47,95.61,94.76
WA,1,2,10102,29,1,3,2021,1,DM,93.92,93.98,93.6
WA,1,3,10103,162,1,2,2020,1,DM,95.73,95.61,94.76
WA,1,3,10103,162,1,2,2021,1,DM,93.76,93.98,93.6
WA,1,4,10104,201,1,1,2019,1,DM,93.26,93.26,NA
WA,1,4,10104,201,1,1,2020,1,DM,95.61,95.61,94.76
WA,1,4,10104,201,1,1,2021,1,DM,93.98,93.98,93.6
WA,1,5,10105,126,2,4,2020,1,DM,94.29,95.61,94.76
WA,1,5,10105,126,2,4,2021,1,DM,93.64,93.98,93.6
WA,1,6,10106,191,2,3,2019,1,DM,92.54,93.26,NA
WA,1,6,10106,191,2,3,2020,1,DM,95.09,95.61,94.76
WA,1,6,10106,191,2,3,2021,1,DM,93.6,93.98,93.6
WA,1,7,10107,159,2,2,2020,1,DM,95.25,95.61,94.76
WA,1,7,10107,159,2,2,2021,1,DM,93.89,93.98,93.6
WA,1,8,10108,139,2,1,2020,1,DM,95.06,95.61,94.76
WA,1,8,10108,139,2,1,2021,1,DM,93.72,93.98,93.6
WA,1,9,10109,77,3,4,2020,1,DM,95.25,95.61,94.76
WA,1,9,10109,77,3,4,2021,1,DM,93.63,93.98,93.6
WA,1,10,10110,69,3,3,2020,1,DM,95.01,95.61,94.76
WA,1,10,10110,69,3,3,2021,1,DM,93.61,93.98,93.6
WA,1,11,10111,121,3,2,2018,1,DM,93.74,NA,NA
WA,1,11,10111,121,3,2,2019,1,DM,93.08,93.26,NA
WA,1,11,10111,121,3,2,2020,1,DM,95.23,95.61,94.76
WA,1,11,10111,121,3,2,2021,1,DM,93.74,93.98,93.6
WA,1,12,10112,84,3,1,2018,1,DM,93.61,NA,NA
WA,1,12,10112,84,3,1,2020,1,DM,95.12,95.61,94.76
WA,1,12,10112,84,3,1,2021,1,DM,93.54,93.98,93.6
WA,1,13,10113,133,4,4,2020,1,DM,95.28,95.61,94.76
WA,1,13,10113,133,4,4,2021,1,DM,93.76,93.98,93.6
WA,1,14,10114,125,4,3,2018,1,DM,93.82,NA,NA
WA,1,14,10114,125,4,3,2020,1,DM,95.34,95.61,94.76
WA,1,14,10114,125,4,3,2021,1,DM,93.7,93.98,93.6
WA,1,15,10115,202,4,2,2020,1,DM,94.76,95.61,94.76
WA,1,15,10115,202,4,2,2021,1,DM,93.6,93.98,93.6
WA,1,16,10116,32,4,1,2020,1,DM,94.84,95.61,94.76
WA,1,16,10116,32,4,1,2021,1,DM,93.56,93.98,93.6
WA,1,17,10117,37,5,4,2020,1,DM,95.66,95.61,94.76
WA,1,17,10117,37,5,4,2021,1,DM,93.67,93.98,93.6
WA,1,18,10118,13,5,3,2020,1,DM,95.22,95.61,94.76
WA,1,18,10118,13,5,3,2021,1,DM,93.64,93.98,93.6
WA,1,19,10119,116,5,2,2019,1,DM,93.06,93.26,NA
WA,1,19,10119,116,5,2,2020,1,DM,94.91,95.61,94.76
WA,1,19,10119,116,5,2,2021,1,DM,93.57,93.98,93.6
WA,1,20,10120,164,5,1,2018,1,DM,93.58,NA,NA
WA,1,20,10120,164,5,1,2020,1,DM,95.35,95.61,94.76
WA,1,20,10120,164,5,1,2021,1,DM,93.74,93.98,93.6
WA,2,1,10201,35,6,4,2020,1,DM,95.69,95.28,95.15
WA,2,1,10201,35,6,4,2021,1,DM,93.42,93.66,93.46
WA,2,2,10202,146,6,3,2018,1,DM,93.4,NA,NA
WA,2,2,10202,146,6,3,2019,1,DM,93.03,NA,NA
WA,2,2,10202,146,6,3,2020,1,DM,95.62,95.28,95.15
WA,2,2,10202,146,6,3,2021,1,DM,93.54,93.66,93.46
WA,2,3,10203,43,6,2,2019,1,DM,93.17,NA,NA
WA,2,3,10203,43,6,2,2020,1,DM,95.04,95.28,95.15
WA,2,3,10203,43,6,2,2021,1,DM,93.65,93.66,93.46
WA,2,4,10204,24,6,1,2020,1,DM,95.42,95.28,95.15
WA,2,4,10204,24,6,1,2021,1,DM,93.78,93.66,93.46
WA,2,5,10205,202,7,4,2020,1,DM,95.15,95.28,95.15
WA,2,5,10205,202,7,4,2021,1,DM,93.46,93.66,93.46
WA,2,6,10206,104,7,3,2018,1,DM,93.82,NA,NA
WA,2,6,10206,104,7,3,2020,1,DM,95.47,95.28,95.15
WA,2,6,10206,104,7,3,2021,1,DM,93.6,93.66,93.46
WA,2,7,10207,76,7,2,2019,1,DM,92.85,NA,NA
WA,2,7,10207,76,7,2,2020,1,DM,94.79,95.28,95.15
WA,2,7,10207,76,7,2,2021,1,DM,93.28,93.66,93.46
WA,2,8,10208,107,7,1,2018,1,DM,93.39,NA,NA
WA,2,8,10208,107,7,1,2019,1,DM,92.77,NA,NA
WA,2,8,10208,107,7,1,2020,1,DM,94.73,95.28,95.15
WA,2,8,10208,107,7,1,2021,1,DM,93.41,93.66,93.46
WA,2,9,10209,158,8,4,2018,1,DM,93.62,NA,NA
WA,2,9,10209,158,8,4,2019,1,DM,93.41,NA,NA
WA,2,9,10209,158,8,4,2020,1,DM,95.65,95.28,95.15
WA,2,9,10209,158,8,4,2021,1,DM,93.49,93.66,93.46
WA,2,10,10210,195,8,3,2020,1,DM,95.02,95.28,95.15
WA,2,10,10210,195,8,3,2021,1,DM,93.53,93.66,93.46
WA,2,11,10211,78,8,2,2019,1,DM,93.04,NA,NA
WA,2,11,10211,78,8,2,2020,1,DM,94.77,95.28,95.15
WA,2,11,10211,78,8,2,2021,1,DM,93.58,93.66,93.46
WA,2,12,10212,3,8,1,2018,1,DM,93.66,NA,NA
WA,2,12,10212,3,8,1,2019,1,DM,93.13,NA,NA
WA,2,12,10212,3,8,1,2020,1,DM,95.28,95.28,95.15
WA,2,12,10212,3,8,1,2021,1,DM,93.65,93.66,93.46
WA,2,13,10213,82,9,4,2018,1,DM,93.19,NA,NA
WA,2,13,10213,82,9,4,2020,1,DM,94.73,95.28,95.15
WA,2,13,10213,82,9,4,2021,1,DM,93.76,93.66,93.46
WA,2,14,10214,201,9,3,2020,1,DM,95.28,95.28,95.15
WA,2,14,10214,201,9,3,2021,1,DM,93.66,93.66,93.46
WA,2,15,10215,34,9,2,2020,1,DM,94.99,95.28,95.15
WA,2,15,10215,34,9,2,2021,1,DM,93.64,93.66,93.46
WA,2,16,10216,156,9,1,2020,1,DM,94.52,95.28,95.15
WA,2,16,10216,156,9,1,2021,1,DM,93.31,93.66,93.46
WA,2,17,10217,6,10,4,2020,1,DM,95.08,95.28,95.15
WA,2,17,10217,6,10,4,2021,1,DM,93.75,93.66,93.46
WA,2,18,10218,52,10,3,2020,1,DM,94.68,95.28,95.15
WA,2,18,10218,52,10,3,2021,1,DM,93.68,93.66,93.46
WA,2,19,10219,90,10,2,2018,1,DM,93.23,NA,NA
WA,2,19,10219,90,10,2,2020,1,DM,94.37,95.28,95.15
WA,2,19,10219,90,10,2,2021,1,DM,93.64,93.66,93.46
WA,2,20,10220,140,10,1,2020,1,DM,95.28,95.28,95.15
WA,2,20,10220,140,10,1,2021,1,DM,93.65,93.66,93.46
WA,3,1,10301,91,11,4,2019,1,DM,93.24,NA,NA
WA,3,1,10301,91,11,4,2020,1,DM,93.71,95.15,94.88
WA,3,1,10301,91,11,4,2021,1,DM,93.8,93.75,93.8
WA,3,2,10302,201,11,3,2018,1,DM,93.51,93.51,NA
WA,3,2,10302,201,11,3,2020,1,DM,95.15,95.15,94.88
WA,3,2,10302,201,11,3,2021,1,DM,93.75,93.75,93.8
WA,3,3,10303,40,11,2,2019,1,DM,93.36,NA,NA
WA,3,3,10303,40,11,2,2020,1,DM,94.67,95.15,94.88
WA,3,3,10303,40,11,2,2021,1,DM,93.94,93.75,93.8
WA,3,4,10304,177,11,1,2020,1,DM,95.4,95.15,94.88
WA,3,4,10304,177,11,1,2021,1,DM,93.98,93.75,93.8
WA,3,5,10305,119,12,4,2020,1,DM,95.49,95.15,94.88
WA,3,5,10305,119,12,4,2021,1,DM,93.56,93.75,93.8
WA,3,6,10306,189,12,3,2020,1,DM,95.47,95.15,94.88
WA,3,6,10306,189,12,3,2021,1,DM,93.86,93.75,93.8
WA,3,7,10307,145,12,2,2020,1,DM,95.26,95.15,94.88
WA,3,7,10307,145,12,2,2021,1,DM,93.72,93.75,93.8
WA,3,8,10308,186,12,1,2020,1,DM,95.08,95.15,94.88
WA,3,8,10308,186,12,1,2021,1,DM,93.62,93.75,93.8
WA,3,9,10309,114,13,4,2018,1,DM,93.38,93.51,NA
WA,3,9,10309,114,13,4,2019,1,DM,93.36,NA,NA
WA,3,9,10309,114,13,4,2020,1,DM,95.32,95.15,94.88
WA,3,9,10309,114,13,4,2021,1,DM,93.79,93.75,93.8
WA,3,10,10310,50,13,3,2019,1,DM,93.24,NA,NA
WA,3,10,10310,50,13,3,2020,1,DM,95.15,95.15,94.88
WA,3,10,10310,50,13,3,2021,1,DM,93.59,93.75,93.8
WA,3,11,10311,111,13,2,2018,1,DM,93.4,93.51,NA
WA,3,11,10311,111,13,2,2020,1,DM,94.68,95.15,94.88
WA,3,11,10311,111,13,2,2021,1,DM,93.69,93.75,93.8
WA,3,12,10312,202,13,1,2020,1,DM,94.88,95.15,94.88
WA,3,12,10312,202,13,1,2021,1,DM,93.8,93.75,93.8
WA,3,13,10313,66,14,4,2018,1,DM,93.33,93.51,NA
WA,3,13,10313,66,14,4,2020,1,DM,94.83,95.15,94.88
WA,3,13,10313,66,14,4,2021,1,DM,93.46,93.75,93.8
WA,3,14,10314,12,14,3,2018,1,DM,93.46,93.51,NA
WA,3,14,10314,12,14,3,2019,1,DM,93.68,NA,NA
WA,3,14,10314,12,14,3,2020,1,DM,94.59,95.15,94.88
WA,3,14,10314,12,14,3,2021,1,DM,93.68,93.75,93.8
WA,3,15,10315,197,14,2,2020,1,DM,94.44,95.15,94.88
WA,3,15,10315,197,14,2,2021,1,DM,93.76,93.75,93.8
WA,3,16,10316,185,14,1,2020,1,DM,95.19,95.15,94.88
WA,3,16,10316,185,14,1,2021,1,DM,93.74,93.75,93.8
WA,3,17,10317,26,15,4,2020,1,DM,95.6,95.15,94.88
WA,3,17,10317,26,15,4,2021,1,DM,93.87,93.75,93.8
WA,3,18,10318,182,15,3,2018,1,DM,93.36,93.51,NA
WA,3,18,10318,182,15,3,2020,1,DM,95.23,95.15,94.88
WA,3,18,10318,182,15,3,2021,1,DM,93.95,93.75,93.8
WA,3,19,10319,33,15,2,2019,1,DM,93.31,NA,NA
WA,3,19,10319,33,15,2,2020,1,DM,95.11,95.15,94.88
WA,3,19,10319,33,15,2,2021,1,DM,93.94,93.75,93.8
WA,3,20,10320,36,15,1,2020,1,DM,94.83,95.15,94.88
WA,3,20,10320,36,15,1,2021,1,DM,93.86,93.75,93.8
WA,4,1,10401,149,16,4,2020,1,DM,94.96,95.39,95.15
WA,4,1,10401,149,16,4,2021,1,DM,93.85,94,93.95
WA,4,2,10402,115,16,3,2020,1,DM,95.18,95.39,95.15
WA,4,2,10402,115,16,3,2021,1,DM,93.84,94,93.95
WA,4,3,10403,136,16,2,2019,1,DM,93.22,NA,NA
WA,4,3,10403,136,16,2,2020,1,DM,94.39,95.39,95.15
WA,4,3,10403,136,16,2,2021,1,DM,93.92,94,93.95
WA,4,4,10404,22,16,1,2018,1,DM,93.12,NA,NA
WA,4,4,10404,22,16,1,2020,1,DM,94.86,95.39,95.15
WA,4,4,10404,22,16,1,2021,1,DM,93.87,94,93.95
WA,4,5,10405,53,17,4,2020,1,DM,94.93,95.39,95.15
WA,4,5,10405,53,17,4,2021,1,DM,93.92,94,93.95
WA,4,6,10406,165,17,3,2018,1,DM,93.19,NA,NA
WA,4,6,10406,165,17,3,2019,1,DM,93.4,NA,NA
WA,4,6,10406,165,17,3,2020,1,DM,95.74,95.39,95.15
WA,4,6,10406,165,17,3,2021,1,DM,93.96,94,93.95
WA,4,7,10407,202,17,2,2020,1,DM,95.15,95.39,95.15
WA,4,7,10407,202,17,2,2021,1,DM,93.95,94,93.95
WA,4,8,10408,56,17,1,2018,1,DM,92.96,NA,NA
WA,4,8,10408,56,17,1,2020,1,DM,95.42,95.39,95.15
WA,4,8,10408,56,17,1,2021,1,DM,93.74,94,93.95
WA,4,9,10409,73,18,4,2018,1,DM,92.93,NA,NA
WA,4,9,10409,73,18,4,2019,1,DM,93.38,NA,NA
WA,4,9,10409,73,18,4,2020,1,DM,95.45,95.39,95.15
WA,4,9,10409,73,18,4,2021,1,DM,93.99,94,93.95
WA,4,10,10410,131,18,3,2020,1,DM,95.35,95.39,95.15
WA,4,10,10410,131,18,3,2021,1,DM,93.65,94,93.95
WA,4,11,10411,89,18,2,2020,1,DM,95.06,95.39,95.15
WA,4,11,10411,89,18,2,2021,1,DM,93.42,94,93.95
WA,4,12,10412,94,18,1,2020,1,DM,95.03,95.39,95.15
WA,4,12,10412,94,18,1,2021,1,DM,93.95,94,93.95
WA,4,13,10413,201,19,4,2020,1,DM,95.39,95.39,95.15
WA,4,13,10413,201,19,4,2021,1,DM,94,94,93.95
WA,4,14,10414,190,19,3,2020,1,DM,95.38,95.39,95.15
WA,4,14,10414,190,19,3,2021,1,DM,94.06,94,93.95
WA,4,15,10415,68,19,2,2018,1,DM,93.13,NA,NA
WA,4,15,10415,68,19,2,2020,1,DM,95.47,95.39,95.15
WA,4,15,10415,68,19,2,2021,1,DM,94.07,94,93.95
WA,4,16,10416,196,19,1,2019,1,DM,93.53,NA,NA
WA,4,16,10416,196,19,1,2020,1,DM,95.13,95.39,95.15
WA,4,16,10416,196,19,1,2021,1,DM,93.82,94,93.95
WA,4,17,10417,100,20,4,2020,1,DM,94.83,95.39,95.15
WA,4,17,10417,100,20,4,2021,1,DM,93.97,94,93.95
WA,4,18,10418,120,20,3,2018,1,DM,92.98,NA,NA
WA,4,18,10418,120,20,3,2019,1,DM,93.13,NA,NA
WA,4,18,10418,120,20,3,2020,1,DM,95.16,95.39,95.15
WA,4,18,10418,120,20,3,2021,1,DM,93.7,94,93.95
WA,4,19,10419,61,20,2,2020,1,DM,94.92,95.39,95.15
WA,4,19,10419,61,20,2,2021,1,DM,93.89,94,93.95
WA,4,20,10420,179,20,1,2018,1,DM,93.18,NA,NA
WA,4,20,10420,179,20,1,2020,1,DM,94.61,95.39,95.15
WA,4,20,10420,179,20,1,2021,1,DM,93.78,94,93.95
WA,5,1,10501,124,21,4,2018,1,DM,93.21,NA,NA
WA,5,1,10501,124,21,4,2019,1,DM,93.33,NA,NA
WA,5,1,10501,124,21,4,2020,1,DM,95.63,95.44,95.26
WA,5,1,10501,124,21,4,2021,1,DM,94.14,94,94.26
WA,5,2,10502,174,21,3,2018,1,DM,93.18,NA,NA
WA,5,2,10502,174,21,3,2020,1,DM,95.96,95.44,95.26
WA,5,2,10502,174,21,3,2021,1,DM,94.24,94,94.26
WA,5,3,10503,128,21,2,2019,1,DM,93.33,NA,NA
WA,5,3,10503,128,21,2,2020,1,DM,95.25,95.44,95.26
WA,5,3,10503,128,21,2,2021,1,DM,93.94,94,94.26
WA,5,4,10504,103,21,1,2018,1,DM,93.24,NA,NA
WA,5,4,10504,103,21,1,2020,1,DM,94.96,95.44,95.26
WA,5,4,10504,103,21,1,2021,1,DM,94.13,94,94.26
WA,5,5,10505,181,22,4,2019,1,DM,93.21,NA,NA
WA,5,5,10505,181,22,4,2020,1,DM,95.21,95.44,95.26
WA,5,5,10505,181,22,4,2021,1,DM,94.13,94,94.26
WA,5,6,10506,108,22,3,2020,1,DM,95.74,95.44,95.26
WA,5,6,10506,108,22,3,2021,1,DM,94.1,94,94.26
WA,5,7,10507,14,22,2,2018,1,DM,93.22,NA,NA
WA,5,7,10507,14,22,2,2019,1,DM,93.22,NA,NA
WA,5,7,10507,14,22,2,2020,1,DM,94.61,95.44,95.26
WA,5,7,10507,14,22,2,2021,1,DM,94.08,94,94.26
WA,5,8,10508,201,22,1,2020,1,DM,95.44,95.44,95.26
WA,5,8,10508,201,22,1,2021,1,DM,94,94,94.26
WA,5,9,10509,127,23,4,2020,1,DM,95.1,95.44,95.26
WA,5,9,10509,127,23,4,2021,1,DM,94.17,94,94.26
WA,5,10,10510,17,23,3,2018,1,DM,93.17,NA,NA
WA,5,10,10510,17,23,3,2020,1,DM,93.99,95.44,95.26
WA,5,10,10510,17,23,3,2021,1,DM,93.9,94,94.26
WA,5,11,10511,172,23,2,2019,1,DM,93.34,NA,NA
WA,5,11,10511,172,23,2,2020,1,DM,95.41,95.44,95.26
WA,5,11,10511,172,23,2,2021,1,DM,93.96,94,94.26
WA,5,12,10512,23,23,1,2020,1,DM,95.24,95.44,95.26
WA,5,12,10512,23,23,1,2021,1,DM,93.97,94,94.26
WA,5,13,10513,99,24,4,2020,1,DM,95.53,95.44,95.26
WA,5,13,10513,99,24,4,2021,1,DM,93.92,94,94.26
WA,5,14,10514,202,24,3,2020,1,DM,95.26,95.44,95.26
WA,5,14,10514,202,24,3,2021,1,DM,94.26,94,94.26
WA,5,15,10515,67,24,2,2019,1,DM,93.04,NA,NA
WA,5,15,10515,67,24,2,2020,1,DM,95.31,95.44,95.26
WA,5,15,10515,67,24,2,2021,1,DM,93.9,94,94.26
WA,5,16,10516,138,24,1,2019,1,DM,93.34,NA,NA
WA,5,16,10516,138,24,1,2020,1,DM,95.28,95.44,95.26
WA,5,16,10516,138,24,1,2021,1,DM,93.54,94,94.26
WA,5,17,10517,130,25,4,2020,1,DM,95.01,95.44,95.26
WA,5,17,10517,130,25,4,2021,1,DM,93.94,94,94.26
WA,5,18,10518,87,25,3,2020,1,DM,94.9,95.44,95.26
WA,5,18,10518,87,25,3,2021,1,DM,93.92,94,94.26
WA,5,19,10519,161,25,2,2020,1,DM,95.21,95.44,95.26
WA,5,19,10519,161,25,2,2021,1,DM,93.89,94,94.26
WA,5,20,10520,106,25,1,2020,1,DM,95.07,95.44,95.26
WA,5,20,10520,106,25,1,2021,1,DM,93.94,94,94.26
WA,6,1,10601,188,26,4,2020,1,DM,95.59,95.25,95.04
WA,6,1,10601,188,26,4,2021,1,DM,94.09,93.91,93.87
WA,6,2,10602,151,26,3,2020,1,DM,95.77,95.25,95.04
WA,6,2,10602,151,26,3,2021,1,DM,94.11,93.91,93.87
WA,6,3,10603,19,26,2,2020,1,DM,95.4,95.25,95.04
WA,6,3,10603,19,26,2,2021,1,DM,93.86,93.91,93.87
WA,6,4,10604,202,26,1,2020,1,DM,95.04,95.25,95.04
WA,6,4,10604,202,26,1,2021,1,DM,93.87,93.91,93.87
WA,6,5,10605,154,27,4,2018,1,DM,93.15,93.44,NA
WA,6,5,10605,154,27,4,2019,1,DM,93.5,93.12,NA
WA,6,5,10605,154,27,4,2020,1,DM,95.23,95.25,95.04
WA,6,5,10605,154,27,4,2021,1,DM,94.08,93.91,93.87
WA,6,6,10606,5,27,3,2019,1,DM,92.61,93.12,NA
WA,6,6,10606,5,27,3,2020,1,DM,95.07,95.25,95.04
WA,6,6,10606,5,27,3,2021,1,DM,93.98,93.91,93.87
WA,6,7,10607,80,27,2,2020,1,DM,95.11,95.25,95.04
WA,6,7,10607,80,27,2,2021,1,DM,93.65,93.91,93.87
WA,6,8,10608,176,27,1,2019,1,DM,93.13,93.12,NA
WA,6,8,10608,176,27,1,2020,1,DM,96.04,95.25,95.04
WA,6,8,10608,176,27,1,2021,1,DM,93.92,93.91,93.87
WA,6,9,10609,183,28,4,2019,1,DM,93.27,93.12,NA
WA,6,9,10609,183,28,4,2020,1,DM,95.61,95.25,95.04
WA,6,9,10609,183,28,4,2021,1,DM,94.02,93.91,93.87
WA,6,10,10610,117,28,3,2020,1,DM,94.96,95.25,95.04
WA,6,10,10610,117,28,3,2021,1,DM,93.98,93.91,93.87
WA,6,11,10611,118,28,2,2019,1,DM,93.25,93.12,NA
WA,6,11,10611,118,28,2,2020,1,DM,95.53,95.25,95.04
WA,6,11,10611,118,28,2,2021,1,DM,93.66,93.91,93.87
WA,6,12,10612,79,28,1,2018,1,DM,93.39,93.44,NA
WA,6,12,10612,79,28,1,2019,1,DM,93.14,93.12,NA
WA,6,12,10612,79,28,1,2020,1,DM,95.15,95.25,95.04
WA,6,12,10612,79,28,1,2021,1,DM,93.68,93.91,93.87
WA,6,13,10613,201,29,4,2018,1,DM,93.44,93.44,NA
WA,6,13,10613,201,29,4,2019,1,DM,93.12,93.12,NA
WA,6,13,10613,201,29,4,2020,1,DM,95.25,95.25,95.04
WA,6,13,10613,201,29,4,2021,1,DM,93.91,93.91,93.87
WA,6,14,10614,46,29,3,2019,1,DM,92.55,93.12,NA
WA,6,14,10614,46,29,3,2020,1,DM,94.86,95.25,95.04
WA,6,14,10614,46,29,3,2021,1,DM,93.7,93.91,93.87
WA,6,15,10615,113,29,2,2019,1,DM,93.4,93.12,NA
WA,6,15,10615,113,29,2,2020,1,DM,94.83,95.25,95.04
WA,6,15,10615,113,29,2,2021,1,DM,93.81,93.91,93.87
WA,6,16,10616,25,29,1,2020,1,DM,94.98,95.25,95.04
WA,6,16,10616,25,29,1,2021,1,DM,93.93,93.91,93.87
WA,6,17,10617,71,30,4,2018,1,DM,93.12,93.44,NA
